word,frequency
vận_động_viên,3456
trong,2478
cú,1859
đang,1761
thể_hiện,1749
trên,1607
với,1370
bóng,1352
người,1326
sự,1273
và,1198
mạnh_mẽ,1015
sân,983
chuẩn_bị,971
một,945
cho,927
trang_phục,858
của,854
tư_thế,833
cầu_thủ,782
tập_trung,766
thực_hiện,766
tạo,741
đầy,727
khi,677
đánh,664
giữa,635
đấu,626
kỹ_thuật,606
vào,544
xanh,537
ngựa,525
trận,519
qua,519
thể_thao,509
không_khí,471
không_gian,466
các,449
ra,447
ánh,438
quyết_tâm,435
sức_mạnh,435
tay,430
lên,427
nên,425
bắn,423
những,421
chơi,400
cao,399
nhảy,384
trước,370
từ,368
phía,368
động_tác,359
bay,347
cung,334
tự_tin,329
để,328
khoảnh_khắc,325
sôi_động,321
hoàn_hảo,318
nước,318
sẵn_sàng,309
căng_thẳng,305
điêu_luyện,302
nắng,302
quyết_định,302
nổi_bật,293
trắng,281
lướt,276
bơi,276
hai,275
kịch_tính,273
áo,271
cuộc,269
đối_thủ,266
ném,264
cô,264
chính_xác,263
về,262
sóng,261
cao_độ,261
khéo_léo,260
rực_rỡ,259
từng,256
thi_đấu,254
khung_cảnh,249
golf,249
sáng,247
đẹp,246
pha,244
chạy,235
đường,232
hình_ảnh,229
lướt_sóng,229
mặc,226
tuyết,216
cưỡi,216
sân_cỏ,213
cầu,211
màu,210
vượt,210
quyết_liệt,208
kỹ_năng,202
chân,201
nhanh,199
dưới,196
ấn_tượng,196
đua,195
ánh_sáng,189
giữ,187
đỏ,185
môn,183
tuyệt,182
khán_giả,181
tuyệt_vời,181
lao,180
trượt_tuyết,178
vợt,175
hướng,174
mục_tiêu,168
được,164
điều_khiển,162
gậy,158
di_chuyển,156
đứng,155
đấm,155
diễn,154
tinh_thần,150
hồi_hộp,149
này,147
mặt,146
tốc_độ,145
cầu_lông,143
đạp,142
xe,142
tấn_công,137
nền,133
mang,131
sút,130
làm,129
xe_đạp,129
chiếu,127
vung,125
ván,125
võ_sĩ,122
trượt,122
ấy,122
nhắm,120
chuyên_nghiệp,120
hấp_dẫn,120
xuất_sắc,119
biển,118
bóng_rổ,117
thiên_nhiên,116
cùng,116
vững_vàng,115
chuẩn_xác,115
sau,115
cảnh_tượng,115
rổ,114
tới,114
phát_bóng,113
con,113
bầu_không_khí,113
thăng_bằng,112
mình,112
mũi_tên,111
trái,111
tennis,109
bộ,108
nhảy_cao,106
không_trung,106
đen,105
vị_trí,105
đèn,104
nhanh_nhẹn,104
thi,103
đôi,102
chiếc,102
giao_bóng,102
nhìn,102
đến,102
tại,101
mạnh,99
năng_động,99
dây_cung,99
bên,97
kéo,96
xung_quanh,96
không,96
vàng,95
tung,95
thủ,95
bóng_chày,95
gái,94
lớn,93
hành_động,92
nỗ_lực,92
đi,92
chinh_phục,92
phong_cách,92
cát,91
mắt,91
bước,91
mướt,90
đội,89
tình_huống,89
sức,89
ghi_điểm,89
tối,88
ở,88
lại,87
bật,87
bộ_đồ,87
đòn,85
thử_thách,85
đá,84
chăm_chú,84
thấy,83
đường_đua,83
màn,81
trời,81
mát,80
môi_trường,80
toả,80
tối_đa,78
năng_lượng,78
dồn,78
lý_tưởng,78
lưới,77
theo_dõi,77
anh,76
bơi_lội,76
sàn,76
làn,76
cảm_giác,76
tập,76
màu_sắc,75
địa_hình,75
kiểm_soát,75
quả,74
buổi,74
chắc_chắn,74
quyết_đoán,73
đập,73
cầm,72
phối_hợp,71
bối_cảnh,71
rộng_lớn,71
ngoạn_mục,71
tay_đua,71
linh_hoạt,71
xuống,70
nghệ_thuật,70
núi,70
tranh,70
nơi,70
điều_chỉnh,69
mãnh_liệt,69
chạm,67
vững_chãi,67
bóng_chuyền,67
boxing,66
đối_phương,66
cổ_vũ,66
nghiêng,65
cỏ,65
dốc,64
nét,63
swing,63
sôi_nổi,62
sân_vận_động,62
nhà,62
cố_gắng,61
trẻ,61
đồng_đội,61
nâng,61
xuất_phát,61
phấn_khích,61
bầu_trời,60
đích,60
trình_diễn,60
thoải_mái,59
cả,59
góc,59
chiến_thắng,59
căng,58
đều,58
theo,57
thẳng,57
làn_sóng,57
chờ_đợi,57
vững_chắc,57
cạnh_tranh,57
xanh_tươi,57
rõ,56
tiếp_theo,56
tay_vợt,56
đất,56
mặt_nước,56
khung_thành,56
giúp,55
tinh_tế,55
tranh_chấp,54
biểu_diễn,54
bằng,54
vươn,54
mọi,54
tập_luyện,53
mặt_trời,53
vừa,53
đưa,52
khỏi,52
cảm_xúc,51
khiến,51
bắt,51
dứt_khoát,51
khả_năng,50
đón,50
vượt_trội,50
thấp,50
sắp,49
điều_kiện,49
nữ,49
nhanh_chóng,48
cảnh,48
vững,48
nắm,47
sườn,47
nhau,46
cây,46
phòng_thủ,46
dứt_điểm,46
xoay,45
lăn,45
xa,44
nằm,44
bé,44
tự_nhiên,44
tạo_dáng,44
gió,43
rất,43
bể_bơi,43
bãi,43
chuyển_động,42
gần,42
chướng_ngại_vật,42
tự_do,42
hùng_vĩ,42
đẹp_mắt,42
tuyệt_đối,42
một_cách,41
tung_toé,41
hoà_quyện,40
tài,40
kết_hợp,40
cuộc_chiến,40
dẻo_dai,40
chuyền,40
trong_lành,40
chặt,39
tăng_tốc,39
lớp,39
vẻ,39
là,39
hồ,39
nhiệt_huyết,39
mỗi,38
nhẹ,38
đông,38
niềm,38
hoàn_toàn,38
quan_trọng,37
cậu,37
tài_năng,37
thế,37
văng,37
nhẹ_nhàng,37
thả,37
luyện_tập,37
golfer,36
hàng_rào,36
bụi,36
cạnh,36
cân_bằng,36
chú_ý,35
chiếu_rọi,35
nhiều,35
giành,35
gay_cấn,35
sát,35
cơ_thể,35
găng_tay,35
chiến_đấu,34
hào_hứng,34
tận_dụng,34
lặn,34
dũng_mãnh,34
dũng_cảm,34
hiện,33
tận_hưởng,33
chiến_thuật,33
bứt_phá,33
phát,33
cúi,33
ghi_bàn,32
điểm,32
chờ,32
bóng_đá,32
mạo_hiểm,32
rừng,32
phản_chiếu,32
đỉnh,32
ngồi,32
dáng,31
cười,31
phản_công,31
rời,31
gọn_gàng,31
sắc,31
thủ_môn,31
nghiêm_túc,30
tốt,30
thời_tiết,30
rào_cản,30
vòng,30
xử_lý,30
dài,30
duy_trì,30
lực,30
việc,30
đã,30
tiến,29
đoạn,29
sống_động,29
cánh_tay,29
tên,29
cam,29
rơi,29
hứng_khởi,28
khó_khăn,28
yên_tĩnh,28
như,28
thư_giãn,28
chói_chang,28
khởi_động,28
chú,28
quanh,28
trắng_xoá,28
nhịp,27
thật,27
phong_thái,27
đam_mê,27
hoàng_hôn,27
giơ,27
chắc,27
giải,27
tỏ,27
bọt,27
đồi,27
giày,27
mùa,26
quyền_anh,26
hiện_đại,26
cách,26
đặc_trưng,26
ngoài_trời,26
khí_thế,26
hàng,26
phải,25
thú_vị,25
thuận_lợi,25
lan_toả,25
giọt,25
cảnh_quan,25
đẩy,25
phòng_ngự,25
cua,25
sử_dụng,25
nhưng,25
kính,24
nhộn_nhịp,24
sáng_tạo,24
đỉnh_cao,24
đợt,24
điềm_tĩnh,24
giây_phút,24
quan_sát,24
thêm,24
khu_vực,24
thu_hút,24
hoà_mình,24
cảnh_sắc,24
quần,23
lướt_ván,23
bao,23
tăng,23
độ,23
cản,23
phấn_khởi,23
uyển_chuyển,23
vùng,23
cơn,23
nhịp_nhàng,23
lưng,23
cứu,23
đáng,23
mũ,22
khúc,22
tuổi,22
vui,22
đồng_phục,22
cuồng_nhiệt,22
tay_trái,22
áp_lực,22
chiều,22
đấu_sĩ,22
lúc,22
đầu,22
bùng_nổ,22
cơ_hội,22
ta,22
nụ,22
thành,21
phủ,21
nhất,21
gây,21
thách_thức,21
vui_vẻ,21
sức_sống,21
mát_mẻ,21
nhiệt_tình,21
bắt_đầu,21
tìm,21
lơ_lửng,21
bức,21
phi,21
giao_tranh,21
yên_bình,21
đại_dương,20
gương_mặt,20
cảnh_vật,20
phô_diễn,20
kỹ_lưỡng,20
lỗ,20
trải,20
nhãn,19
phản_ứng,19
mãn,19
bất_ngờ,19
ổn_định,19
ngã,19
đối_đầu,19
xem,19
tràn_đầy,19
cái,19
biển_cả,19
sâu,19
chi_tiết,19
ôm,19
lấy,19
khuôn_mặt,19
nhận,19
chuyên_dụng,19
bảo_hộ,19
bờ,19
có,19
mặt_đất,18
nện,18
vẫn,18
lấp_lánh,18
vượt_rào,18
gồ_ghề,18
ngăn_cản,18
động_lực,18
thổi,18
đối_mặt,18
tham_gia,18
tĩnh_lặng,18
hứa_hẹn,18
tiếng,18
cánh,17
ngọn,17
võ_đài,17
đám,17
táo_bạo,17
giao,17
xuống_nước,17
ăn_mừng,17
hoạt_động,17
tươi_đẹp,17
phóng,17
băng,17
họ,17
vận_động,17
mồ_hôi,17
bao_la,17
vươn_mình,17
áo_phông,17
nước_rút,17
đạt,17
tính,17
cơ_bắp,17
tiếp_cận,16
bánh_xe,16
chàng,16
duỗi,16
hoàn_thành,16
áo_khoác,16
hăng_say,16
sắc_bén,16
tím,16
vỗ,16
đường_phố,16
độc_đáo,16
khoảng_cách,16
cuộn,16
chặt_chẽ,16
tiếp_xúc,16
bơi_ếch,16
điệu_nghệ,16
nhằm,16
quyền,16
đoàn_kết,16
ngay,16
ấm_áp,16
cản_phá,16
sọc,16
trở_nên,16
biểu_hiện,16
bước_đi,16
rộng,16
xám,16
kiên_cường,16
sáng_rực,16
bề_mặt,16
thoáng_đãng,15
tốc,15
vạch,15
đường_cong,15
mây,15
ghi,15
nóng_bỏng,15
chống,15
núi_non,15
tươi_sáng,15
bứt,15
đồng_bộ,15
ngửa,15
thuận,15
bay_bổng,15
mượt_mà,15
náo_nhiệt,15
dẫn,15
ngăn_chặn,15
ba,14
ngày,14
đón_nhận,14
dòng,14
hài_hoà,14
lạnh,14
va_chạm,14
phong_độ,14
nhóm,14
kiên_trì,14
đỡ,14
đồng,14
hưng_phấn,14
bao_trùm,14
rõ_ràng,14
uy_lực,14
ảnh,14
biểu_cảm,14
ngắm,14
áp,14
chuẩn,14
bẫy,14
tối_ưu,14
lạnh_giá,14
dày,14
trọng_tài,14
rạng_rỡ,14
kết_nối,14
cuốn_hút,14
bị,14
nhào_lộn,13
phản_ánh,13
xuống_dốc,13
bảo_vệ,13
phần,13
ra_sức,13
cổ_động_viên,13
truyền_thống,13
chứng_tỏ,13
hơi,13
hiệu_quả,13
chỉ,13
chủ_động,13
phòng,13
tươi,13
toát,13
so,13
hiểm_hóc,13
đeo,13
chứng_kiến,13
mũ_bảo_hiểm,13
tràn_ngập,13
mưa,13
quạt,13
rộng_rãi,13
dấu_ấn,13
bộ_môn,12
ngược,12
tươi_cười,12
cột,12
vệt,12
thở,12
hăng_hái,12
độ_chính_xác,12
tee,12
cảm_hứng,12
sân_quần,12
sặc_sỡ,12
cận_cảnh,12
trả,12
sắc_màu,12
mới,12
ăn_ý,12
hiệu_ứng,12
bởi,12
càng,12
chặn,12
giương,12
dáng_vẻ,12
dây,12
bơi_sải,12
rực,12
lá,12
lái,12
hành_trình,12
điểm_số,12
sân_khấu,11
ẩm_ướt,11
khoảng,11
không_thể,11
bơi_bướm,11
nguy_hiểm,11
hạ,11
chắn,11
trẻ_trung,11
cao_tay,11
hỗ_trợ,11
ngắn,11
né_tránh,11
mờ,11
biểu_lộ,11
hết_sức,11
căn_cứ,11
mở_rộng,11
đổ_dồn,11
nhỏ,11
sức_ép,11
khẳng_định,11
chao_đảo,11
vút,11
hò_reo,11
chụp,11
trào,11
tích_cực,11
hiểm_trở,11
phụ_nữ,11
âm_u,11
chăm_chỉ,11
đường_mòn,11
nhảy_vọt,11
lòng,11
mờ_ảo,11
hâm_mộ,10
đội_hình,10
xanh_biếc,10
rướn,10
đẩy_mạnh,10
hồng,10
tối_tăm,10
đấu_trường,10
baseball,10
đồng_cỏ,10
tròn,10
đánh_đầu,10
chăm_sóc,10
phiêu_lưu,10
sinh_động,10
kĩ_thuật,10
tương_tác,10
bàn,10
thắng,10
dễ_dàng,10
cờ,10
đổ,10
diện,10
mở,10
cây_cối,10
đặt,10
tầm,10
cẩn_thận,10
kiên_nhẫn,10
đông_đúc,10
hạnh_phúc,10
ra_tay,10
vòng_tròn,10
khao_khát,10
âm_thanh,10
tạo_hình,9
bạn,9
kiên_định,9
nhớ,9
tay_lái,9
trang_bị,9
cặp,9
lái_xe,9
kín,9
vật,9
bia,9
thành_công,9
đúng,9
dịu_dàng,9
đánh_dấu,9
rỡ,9
quay,9
xoáy,9
nảy_lửa,9
nồng_nhiệt,9
đó,9
trống,9
sân_vận_động_viên,9
bám,9
khán_đài,9
đồ,9
sân_chơi,9
đà,9
đơn_giản,9
ngừng,9
còn,9
qua_mặt,9
khoẻ_khoắn,9
tối_giản,9
tiếp,9
cắm,9
nhí,9
tay_phải,9
mịn_màng,9
putt,9
đẳng_cấp,9
khác,9
thể_lực,9
lông,9
vui_tươi,9
trúng,9
sức_lực,8
hội_tụ,8
biểu_thị,8
hoà,8
nghẹt_thở,8
bảng,8
tâm_trạng,8
sức_bật,8
chói,8
sức_bền,8
quang_đãng,8
điều_chỉnh_lực,8
cứng,8
quyến_rũ,8
quần_vợt,8
gần_gũi,8
điền_kinh,8
khoác_áo,8
khắc_hoạ,8
thả_lỏng,8
lợi_thế,8
tôn,8
khuấy_động,8
dunk,8
lộn,8
cực_kỳ,8
khó,8
mượt,8
leo,8
nhấn,8
tươi_mát,8
gợi_cảm,8
nước_đại,8
khổng_lồ,8
polo,8
thanh_lịch,8
rẽ,8
vô_địch,8
hè,8
nhà_thi_đấu,8
bàn_tay,8
dribble,8
khốc_liệt,8
thân,8
tâm,8
lung_linh,8
xuyên,8
hết_mình,8
nền_tảng,7
thảm,7
lượt,7
chiến,7
hoàn_thiện,7
huyền_ảo,7
mềm_mại,7
mái_tóc,7
an_toàn,7
bình_yên,7
ngừng_nghỉ,7
ngoài,7
vào_cuộc,7
uốn,7
vẫy,7
trung_tâm,7
thăng_hoa,7
kinh_ngạc,7
phong_cảnh,7
gập_ghềnh,7
chướng_ngại,7
hết,7
hân_hoan,7
nhún,7
rào_chắn,7
hút,7
thanh,7
dấu,7
thông,7
tỉ_mỉ,7
cuốn,7
bay_lượn,7
tuyệt_mỹ,7
dướn,7
surfer,7
hy_vọng,7
forehand,7
chắn_bóng,7
sống,7
hoang_sơ,7
cây_xanh,7
bột,7
chiến_binh,7
tia,7
gắt,7
khoác,7
đồng_loạt,7
thời_cơ,7
tránh,7
đảm_bảo,7
sẵn,7
khung,7
hậu_vệ,7
tìm_kiếm,7
lại_sức,7
nhấn_mạnh,7
cao_vút,7
cong,7
rèn_luyện,7
cuồn_cuộn,7
bản_lĩnh,7
nghiêng_mình,7
nhịp_điệu,7
khom,7
thiết_bị,7
mịn,7
khám_phá,7
ướt,7
dẫn_đầu,7
chật,7
cầu_môn,7
giang,7
dâng,7
hừng_hực,7
háo_hức,7
khói,7
trải_nghiệm,7
trắng_tinh,6
găng,6
giây,6
xanh_lam,6
sắp_xếp,6
nhanh_nhạy,6
bắt_mắt,6
thế_trận,6
kiêu_hãnh,6
trở_ngại,6
bình_tĩnh,6
thoát,6
chắc_tay,6
đèo,6
kết_quả,6
tâm_lý,6
bền_bỉ,6
giao_đấu,6
bốc,6
áp_dụng,6
kiểm_tra,6
kèm,6
trang_thiết_bị,6
nhựa,6
ai,6
thun,6
vặn,6
phấn_đấu,6
dùng,6
hố,6
tay_chân,6
minh_chứng,6
điển_hình,6
chia_sẻ,6
bộc_lộ,6
da,6
bài_tập,6
cấn,6
khơi,6
giới_hạn,6
khoe,6
vỡ,6
kỳ_diệu,6
truy,6
nảy,6
vòng_tay,6
xuất_hiện,6
phát_động,6
đột_phá,6
bàn_chân,6
đỏ_rực,6
mù_mịt,6
nghệ_sĩ,6
hướng_dẫn,6
dõi,6
giảm,6
lịch_lãm,6
chủ,6
năng_lực,6
bài,6
kiểu,6
đối_diện,6
chặng,6
ngôi_sao,6
nàng,6
gôn,6
rõ_rệt,6
đồng_thời,6
phản_xạ,5
ngập_tràn,5
em,5
uốn_lượn,5
chuyến,5
định_hướng,5
trạng_thái,5
rào,5
gạt,5
có_thể,5
tín_hiệu,5
reo_hò,5
chất,5
mốc,5
điều,5
hoang_dã,5
tuyệt_đỉnh,5
đặc_biệt,5
đây,5
tứ_tung,5
treo,5
vết,5
sự_kiện,5
thân_hình,5
tấm,5
ghế,5
dày_đặc,5
tâm_thế,5
kịp,5
động,5
săn,5
toàn_bộ,5
theo_đuổi,5
vỗ_về,5
suốt,5
ấm_cúng,5
green,5
chiều_tà,5
cá_nhân,5
trai,5
mảnh,5
nhân_tạo,5
súng,5
gập,5
rọi,5
tấp_nập,5
đáp,5
đuổi,5
nâu,5
rợp,5
bệ,5
váy,5
nhấc,5
triển_khai,5
cực,5
gọn,5
bông,5
thanh_thoát,5
dừng,5
đầy_đủ,5
đồng_hành,5
cương,5
thời_điểm,5
đường_đất,5
vách,5
nghe,5
kia,5
động_vật,5
yên,5
gắn_bó,5
vẽ,5
kéo_dài,5
duyên_dáng,5
chiếm,5
yêu,5
thần_thái,5
đều_đặn,5
bùng,5
cháy,5
diễn_biến,5
tác_động,5
tất_cả,4
trụ,4
trẻ_em,4
khí,4
động_viên,4
quần_áo,4
trai_trẻ,4
dậy,4
dẫn_dắt,4
chất_lượng,4
tự_hào,4
khắp,4
ấm,4
sức_kéo,4
quyết_chiến,4
nổi,4
chào,4
tươi_vui,4
vận,4
tâm_trí,4
thành_thạo,4
xạ_thủ,4
bậc,4
chiến_mã,4
nhuần_nhuyễn,4
xoá,4
kiên_quyết,4
ngại,4
đường_nhựa,4
khát_khao,4
giờ,4
nhảy_xa,4
phố,4
wetsuit,4
rê,4
khí_động_học,4
giác,4
đoàn,4
chói_lọi,4
nhạy_bén,4
ống,4
tô_điểm,4
ghi_đông,4
cơ,4
short,4
đấu_tranh,4
sắc_lẹm,4
tóc,4
sát_sao,4
gợi,4
quê,4
lãng_mạn,4
cắt,4
giao_lưu,4
cử_động,4
bóng_dáng,4
mù,4
huấn_luyện,4
hùng_mạnh,4
đối_kháng,4
trọng_tâm,4
hồng_tâm,4
miền,4
chằm_chằm,4
đem,4
dribbling,4
chìm,4
cảm_nhận,4
viên,4
khô_ráo,4
dựng,4
chống_đỡ,4
thứ,4
sân_nhà,4
chuồng,4
bể,4
lần,4
cao_lớn,4
sương_mù,4
cuối_cùng,4
khai_thác,4
ném_tạ,4
quên,4
tiếp_tục,4
tiếp_nhận,4
tai,4
liên_tiếp,4
né,4
đặc_sắc,4
co,4
trán,4
máy,4
badminton,4
cũng,4
tiền_đạo,4
quý_giá,4
rộn_ràng,4
nước_lớn,4
phá,4
máy_ảnh,4
biểu_tượng,4
kẻ,4
gò,4
ý_chí,4
thời_gian,4
vang_vọng,4
gắn_kết,4
dường_như,4
dễ_chịu,4
trung_thực_hiện,4
khởi_đầu,4
vật_dụng,4
giãn,4
lượn,4
ưu_thế,4
ngay_ngắn,4
yếu,4
phấn_chấn,4
hết_sức_lực,4
xoạc,4
dụng_cụ,4
vui_sướng,4
cao_trào,4
gấp,4
cam_go,4
môi,4
nắm_bắt,4
trở_thành,4
căn_chỉnh,4
cản_trở,3
mặt_biển,3
dương,3
tài_ba,3
trang_trí,3
truyền_tải,3
vang,3
sinh_tử,3
sở_hữu,3
hứng,3
đường_thẳng,3
chịu,3
hồi_phục,3
gắng_sức,3
sợi,3
nín,3
tình_yêu,3
camera,3
mất,3
đồng_lòng,3
đô_thị,3
rạng,3
đủ,3
dữ_dội,3
đông_đảo,3
chú_tâm,3
võ_thuật,3
chỉn_chu,3
dán,3
tựa,3
đồng_điệu,3
rộng_mở,3
tôn_vinh,3
ứng_phó,3
chật_chội,3
giống,3
chớp,3
hoàn_cảnh,3
khích_lệ,3
trang_nhã,3
kích_thích,3
đường_bay,3
tối_ưu_hoá_lực,3
triển,3
cấm,3
toàn,3
chỉnh_tề,3
hơn,3
thiết_kế,3
xe_lăn,3
bay_nhảy,3
gối,3
phao,3
vô_cùng,3
vận_tốc,3
giao_tiếp,3
giám_sát,3
lẫn,3
mê_hoặc,3
thanh_bình,3
móc,3
phun,3
tiếng_vang,3
kề,3
vòng_đai,3
trao_đổi,3
núi_rừng,3
